zip5,lon,lat
55954,-91.7847889986394,43.5435231081633
17244,-77.6627005827376,40.0849063150018
96726,-155.820971646214,19.4281736590804
75956,-93.9150792044238,30.6764786183851
25028,-81.7233211035189,37.9477958915273
44691,-81.9470937659894,40.8099822544921
25025,-81.386773,38.296475
97840,-116.927358011008,44.9061571089982
97842,-116.748654287313,45.467397898023
25030,-81.205117,38.4692
25031,-81.288659,38.152629
43466,-83.51474313102,41.2959128067604
97839,-119.666339,45.521711
97841,-117.942845,45.447043
97843,-119.84988,45.472366
43464,-82.895914,41.41125
97883,-117.867592485564,45.2117857480315
68002,-96.367955525,41.5002411973684
93512,-118.564700457227,37.8926117078006
97870,-117.285758,44.79064
97875,-119.212636180483,45.7947659695698
97876,-118.027375,45.508754
94123,-122.43591795046,37.8003892936244
94124,-122.391126579979,37.7301957758015
25033,-81.9070408704555,38.6086071491851
25035,-81.489511,38.195832
25036,-81.229932,38.230642
25039,-81.365932,38.244826
97873,-119.002862982838,44.1320479026496
97874,-119.867501356503,44.7775390174686
97877,-118.339381504998,44.7925834571378
97880,-118.894125338695,45.0835989136777
97845,-118.963854701424,44.4059171499597
97846,-117.174778,45.361755
97848,-119.566042424575,44.6756214319716
44837,-82.4588472735475,40.9906690968964
43535,-84.0220404235618,41.3072778565815
94523,-122.075084567431,37.9542132223013
48756,-84.008975694415,44.2079161671268
37342,-85.9770320048792,35.3939088643123
61569,-89.914353,40.668314
71047,-93.8941344384902,32.3200679950654
71048,-92.818974,32.824941
81007,-104.744201656971,38.3277737641323
42409,-87.6971593219493,37.5312227256332
49076,-84.8943517508143,42.4412812467427
49078,-85.7054966114399,42.4579456579142
94575,-122.110566007885,37.8417775170133
81021,-103.372837942772,38.3771536656496
48761,-83.9218959400375,44.45795916802
48762,-83.505506,44.886116
39553,-88.6430419364895,30.4060249376487
42420,-87.5627274693115,37.8263721660609
39556,-89.4041877168498,30.4763347306471
48763,-83.5610726334533,44.2521043712824
48765,-83.77539,44.122976
39532,-88.9329066724497,30.4636856720738
53505,-88.844212,42.648707
53506,-90.3011473986135,43.1460110901213
81029,-102.482528520147,37.0849775876713
81027,-103.887838,37.299951
48509,-83.6032453104839,43.0255238877688
54559,-90.4782464838736,46.492608563814
39561,-89.1549947417005,30.7049085734402
27235,-80.0128886220615,36.078561569949
61030,-89.564457810327,42.1116304533563
95829,-121.342617181545,38.466355541665
42028,-88.3379160386165,37.2392418077608
75110,-96.4906739115439,32.0901680522711
